AbsoluteProfit,RelativeProfit,Count
221165.22717149224,7.088629076009358974358974359,1
222704.03953229403,7.1379499850094230769230769231,1
224242.85189309582,7.1872708940094871794871794872,0
225781.6642538976,7.2365918030095512820512820513,1
227320.47661469938,7.2859127120095833333333333333,1
228859.28897550117,7.3352336210096474358974358974,1
230398.10133630293,7.3845545300097115384615384615,0
231936.91369710473,7.4338754390097756410256410256,0
233475.72605790652,7.4831963480098397435897435897,0
235014.5384187083,7.5325172570098717948717948718,1
236553.35077951004,7.5818381660099358974358974359,0
238092.16314031184,7.63115907501,1
239630.97550111363,7.6804799840100641025641025641,2
241169.78786191542,7.7298008930100961538461538462,0
242708.6002227172,7.7791218020101602564102564103,1
244247.412583519,7.8284427110102243589743589744,0
245786.22494432074,7.8777636200102884615384615385,1
247325.03730512253,7.927084529010352564102564103,1
248863.84966592432,7.976405438010384615384615385,0
250402.66202672612,8.025726347010448717948717949,0
251941.4743875279,8.075047256010512820512820513,0
253480.28674832964,8.124368165010576923076923077,0
255019.09910913144,8.173689074010608974358974359,1
256557.91146993323,8.223009983010673076923076923,0
258096.72383073502,8.272330892010737179487179487,0
259635.5361915368,8.321651801010801282051282051,0
261174.3485523386,8.370972710010865384615384615,0
262713.16091314034,8.420293619010897435897435897,0
264251.97327394213,8.469614528010961538461538462,0
265790.7856347439,8.518935437011025641025641026,0
267329.5979955457,8.56825634601108974358974359,0
268868.4103563475,8.617577255011153846153846154,0
270407.2227171493,8.666898164011185897435897436,0
271946.03507795103,8.71621907301125,0
273484.8474387528,8.765539982011314102564102564,0
275023.6597995546,8.814860891011378205128205128,0
276562.4721603564,8.86418180001141025641025641,1
