BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,203, ,B2,6506 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2120,3140,2011,1,B2,641497,2011-07-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,204, ,B2,6508 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,3045,2419,2011,1,B2,606877,2011-08-19
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,206, ,B2,6514 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2120,3140,2011,1,B2,651680,2011-08-16
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,207, ,B2,6516 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2120,3140,2011,1,B2,651680,2011-11-30
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,208, ,B2,6518 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2979,3174,2011,1,B2,701574,2011-12-21
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,210, ,B2,6608 SURF AVENUE                         ,            ,11692,2,0,2,5043,3174,2011,1,B2,671026,2011-07-29
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,211, ,B2,6610 SURF AVENUE                         ,            ,11692,2,0,2,3578,2419,2011,1,B2,586512,2011-07-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,212, ,B2,6614 SURF AVENUE                         ,            ,11692,2,0,2,2375,2419,2011,1,B2,581420,2011-08-24
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,213, ,B2,6616 SURF AVENUE                         ,            ,11692,2,0,2,2375,3140,2011,1,B2,596694,2011-08-24
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,214, ,B2,150 SURF AVENUE                          ,            ,11692,2,0,2,3514,3174,2011,1,B2,661862,2011-07-26
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,215, ,B2,150 BEACH67TH STREET                     ,            ,11692,2,0,2,5517,3145,2011,1,B2,590585,2011-09-02
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,216, ,B2,152 BEACH 67 STREET                      ,            ,11692,2,0,2,2258,3145,2011,1,B2,570220,2011-10-26
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,217, ,B2,154 BEACH 67 STREET                      ,            ,11692,2,0,2,2258,3145,2011,1,B2,600767,2011-10-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,218, ,B2,156 BEACH 67 STREET                      ,            ,11692,2,0,2,5507,3145,2011,1,B2,641497,2011-11-30
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,227, ,B2,155 OCEAN LANE                           ,            ,11692,2,0,2,4622,3145,2011,1,B2,610950,2011-09-23
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,228, ,B2,153 OCEAN LANE                           ,            ,11692,2,0,2,2258,3145,2011,1,B2,580402,2011-09-26
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,229, ,B2,151 OCEAN LANE                           ,            ,11692,2,0,2,2258,3145,2011,1,B2,580402,2011-07-20
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,230, ,B2,149 OCEAN LANE                           ,            ,11692,2,0,2,4502,3145,2011,1,B2,621132,2011-06-30
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,236, ,B2,6615 SURF AVENUE                         ,            ,11692,2,0,2,2143,3140,2011,1,B2,651680,2011-12-30
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,240, ,B2,6605 SURF AVENUE                         ,            ,11692,2,0,2,2376,3140,2011,1,B2,692410,2011-09-09
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,241, ,B2,6603 SURF AVENUE                         ,            ,11692,2,0,2,5862,2419,2011,1,B2,672045,2011-07-22
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,243, ,B2,6517 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2526,3174,2011,1,B2,702592,2011-10-20
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,244, ,B2,6515 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2247,3140,2011,1,B2,682227,2011-08-29
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,245, ,B2,6513 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,4061,2419,2011,1,B2,647607,2011-09-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,246, ,B2,6509 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,3089,2149,2011,1,B2,647607,2011-10-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,247, ,B2,6507 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2348,3140,2011,1,B2,661862,2011-09-29
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,248, ,B2,6505 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2509,3140,2011,1,B2,661862,2011-10-11
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,262, ,B2,6617 SEASPRAY AVENUE                     ,            ,11692,2,0,2,4105,3174,2011,1,B2,794235,2011-11-18
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,263, ,B2,6615 SEASPRAY AVENUE                     ,            ,11692,2,0,2,2815,3140,2011,1,B2,743322,2011-12-20
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,267, ,B2,6607 SEASPRAY AVENUE                     ,            ,11692,2,0,2,3840,2419,2011,1,B2,718884,2011-12-02
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,268, ,B2,6605 SEASPRAY AVENUE                     ,            ,11692,2,0,2,2379,3140,2011,1,B2,753505,2011-10-31
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,269, ,B2,6603 SEASPRAY AVENUE                     ,            ,11692,2,0,2,2305,3140,2011,1,B2,743322,2011-12-02
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,274, ,B2,6525 SEASPRAY AVENUE                     ,            ,11692,2,0,2,3937,2419,2011,1,B2,759614,2011-12-23
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,276, ,B2,6523 SEASPRAY AVENUE                     ,            ,11692,2,0,2,4067,2419,2011,1,B2,739249,2011-12-19
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,277, ,B2,6521 SEASPRAY AVENUE                     ,            ,11692,2,0,2,2246,3140,2011,1,B2,743322,2011-12-23
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,282, ,B2,6425 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,2900,3174,2011,1,B2,702592,2011-11-10
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15905,284, ,B2,6421 OCEAN AVENUE SOUTH                  ,            ,11692,2,0,2,3127,2419,2011,1,B2,672045,2011-11-02
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15962,63, ,B1,561 BEACH 43 STREET                      ,            ,11691,2,0,2,3305,2312,2005,1,B1,317200,2011-06-14
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15966,20, ,B2,474 BEACH 45 STREET                      ,            ,11691,2,0,2,2873,2000,2004,1,B2,10,2011-09-01
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15966,20, ,B2,474 BEACH 45 STREET                      ,            ,11691,2,0,2,2873,2000,2004,1,B2,195000,2011-09-01
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15966,54, ,B1,491 BEACH 44 STREET                      ,            ,11691,2,0,2,3000,2000,2005,1,B1,187642,2011-02-10
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15972,7, ,B9,416 BEACH 48TH STREET                    ,            ,11691,2,0,2,2473,1869,1960,1,B9,0,2011-11-26
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,15972,13, ,B9,432 BEACH 48 STREET                      ,            ,11691,2,0,2,2473,1869,1960,1,B9,387874,2011-04-07
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16007,43, ,B2,6233 ALMEDA AVENUE                       ,            ,11692,2,0,2,3317,2254,2010,1,B2,364026,2011-12-21
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16007,43, ,B2,6235 ALMEDA AVENUE                       ,            ,11692,2,0,2,3317,2254,2010,1,B2,394446,2011-12-16
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16023,6, ,B2,612 BEACH 64TH ST                        ,            ,11692,2,0,2,3400,2068,1996,1,B2,245000,2011-08-18
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16023,14, ,B2,624 BEACH 64 STREET                      ,            ,11692,2,0,2,3400,2068,1996,1,B2,275000,2011-05-04
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16023,20, ,B2,632 BEACH 64 STREET                      ,            ,11692,2,0,2,3400,2068,1996,1,B2,250000,2011-01-28
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16027,15, ,B2,632 BEACH 67 STREET                      ,            ,11692,2,0,2,4125,2400,2003,1,B2,190000,2011-09-22
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16028,20, ,B2,6-42 BEACH 68 STREET                     ,            ,11692,2,0,2,3400,1980,2004,1,B2,330000,2011-03-10
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16029,27, ,B9,654 BEACH 69TH                           ,            ,11692,2,0,2,4000,1344,1960,1,B9,300000,2011-04-21
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16029,52, ,B9,639 BEACH 68TH STREET                    ,            ,11692,2,0,2,2750,1428,1960,1,B9,190000,2011-06-06
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16030,27, ,B9,558 BEACH 64 STREET                      ,            ,11692,2,0,2,3450,1974,1960,1,B9,340000,2011-04-27
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16030,57, ,B2,535 BEACH 63RD STREET                    ,            ,11692,2,0,2,3164,1978,2000,1,B2,426591,2011-08-12
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16037,44, ,B9,459 BEACH 63 STREET                      ,            ,11692,2,0,2,2550,1932,1940,1,B9,1,2011-10-07
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16037,44, ,B9,459 BEACH 63 ST                          ,            ,11692,2,0,2,2550,1932,1940,1,B9,10000,2011-02-24
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16037,52, ,B9,439 BEACH 63RD STREET                    ,            ,11692,2,0,2,2550,1690,1940,1,B9,138000,2011-10-11
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16045,23, ,B1,69-19 BAYFIELD AVENUE                    ,            ,11692,2,0,2,3370,2520,2005,1,B1,350000,2011-06-30
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16045,47, ,B9,6922 DECOSTA AVENUE                      ,            ,11692,2,0,2,2717,1386,1950,1,B9,0,2011-07-14
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16045,66, ,B9,69-54 DECOSTA AVENUE                     ,            ,11692,2,0,2,2717,1890,1950,1,B9,0,2011-01-06
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16047,15, ,B9,69-33 HILLMEYER AVENUE                   ,            ,11692,2,0,2,2625,1617,1960,1,B9,275000,2011-02-01
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16047,51, ,B2,69-42 ALMEDA AVENUE                      ,            ,11692,2,0,2,2000,1920,1920,1,B2,275000,2011-12-09
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16047,51, ,B2,69-42 ALMEDA AVENUE                      ,            ,11692,2,0,2,2000,1920,1920,1,B2,107000,2011-05-18
4,ARVERNE                  ,02  TWO FAMILY HOMES                        ,1,16048,8, ,B2,69-49 ALMEDA AVENUE                      ,            ,11692,2,0,2,3033,1848,2003,1,B2,272000,2011-06-14
